ID Year Sex Age Mass BL TL Phi RhoZ FitnessTot
CN07-186 2007 Male J 34 0.104 50 0 0 0
CN07-187 2007 Female J 25 0.1 51 1 4 5
CN07-187 2008 Female A 34.3919272566205 0.1148 58 0 0 0
CN08-001 2008 Male A 38.8467501948086 0.1169 63.1 0 0 0
CN08-003 2008 Male A 41.6136003676132 0.118 58.5 0 0 0
CN08-004 2008 Female A 34.8177375508247 0.111 54.4 0 0 0
CN08-005 2008 Female A 36.7887076157456 0.112 56 1 6 7
CN08-005 2009 Female A 45.0061799683472 0.116833333333333 57.5 0 0 0
CN08-006 2008 Male A 37.1648472079987 0.1115 52.5 0 0 0
CN08-009 2008 Female A 40.0061957165702 0.115666666666667 57.6666666666667 0 0 0
CN08-010 2008 Male A 36.6327751529717 0.119 58 0 0 0
CN08-011 2008 Male A 35.1696530645543 0.117 55 0 0 0
CN08-012 2008 Female A 36.615551091972 0.1154 58.8 0 0 0
CN08-013 2008 Male A 41.8050287269914 0.118428571428571 57.5 1 15 16
CN08-013 2009 Male A 46.5462715829514 0.1206 56.9 0 0 0
CN08-014 2008 Male A 38.1180166525039 0.11 54 0 0 0
CN08-015 2008 Male A 40.1180166525039 0.113 57 0 0 0
CN08-016 2008 Male A 41.4207126634888 0.11825 56.75 0 0 0
CN08-017 2008 Female J 17.5 0.0865 41 0 0 0
